id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;feridos;ilesos;ignorados;veiculos;latitude;longitude;regional;delegacia;uop;;;
749852;03/02/2026;terça-feira;17:15:00;PR;376;597,3;CURITIBA;Trafegar com motocicleta (ou similar) entre as faixas;Queda de ocupante de veículo;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Dupla;Reta;Não;3;1;0;0;0;1;0;3;-25,4811739;-49,3497139;SPRF-PR;DEL01/PR;UOP03-DEL01-PR;;;
749854;03/02/2026;terça-feira;16:00:00;SP;116;501;CAJATI;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Reta;Não;4;0;2;0;2;1;0;3;-24,78290893;-48,17273676;SPRF-SP;DEL05/SP;UOP02-DEL05-SP;;;
749856;03/02/2026;terça-feira;17:00:00;MG;262;423;SAO GONCALO DO PARA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Aclive;Não;3;0;1;0;1;1;0;5;-19,896373;-44,849906;SPRF-MG;DEL08/MG;UOP03-DEL08-MG;;;
749857;03/02/2026;terça-feira;11:00:00;RO;364;298,1;PRESIDENTE MEDICI;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;3;0;1;0;1;1;0;5;-11,262407;-61,902128;SPRF-RO;DEL02-RO;UOP01-DEL02-RO;;;
749861;03/02/2026;terça-feira;16:40:00;MT;163;829;SINOP;Acessar a via sem observar a presença dos outros veículos;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Retorno Regulamentado;Sim;5;0;2;0;2;3;0;2;-11,91306199;-55,50880909;SPRF-MT;DEL06/MT;UOP02-DEL06-MT;;;
749865;03/02/2026;terça-feira;15:21:00;MT;70;2,9;BARRA DO GARCAS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Aclive;Sim;3;0;1;0;1;1;0;3;-15,882647;-52,275613;SPRF-MT;DEL07/MT;UOP01-DEL07-MT;;
749869;03/02/2026;terça-feira;16:10:00;TO;10;462,8;PALMAS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;3;0;1;0;1;1;0;4;-10,241175;-48,312094;SPRF-TO;DEL01-TO;UOP03-DEL01-TO;;;
749876;03/02/2026;terça-feira;18:15:00;PR;116;23;ANTONINA;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Curva;Declive;Não;2;0;1;0;1;0;0;2;-25,113287;-48,758342;SPRF-PR;DEL01/PR;UOP02-DEL01-PR;;
749880;03/02/2026;terça-feira;17:50:00;RJ;40;113;DUQUE DE CAXIAS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;3;0;0;1;1;2;0;3;-22,70621011;-43,29021547;SPRF-RJ;DEL01/RJ;UOP02-DEL01-RJ;;;
749883;03/02/2026;terça-feira;18:10:00;TO;153;93;WANDERLANDIA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Anoitecer;Crescente;Nublado;Simples;Curva;Sim;2;0;1;0;1;0;0;2;-6,854422;-47,973005;SPRF-TO;DEL02-TO;UOP01-DEL02-TO;;;
749894;03/02/2026;terça-feira;19:15:00;MG;40;662,7;CARANDAI;Acostamento em desnível;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Declive;Não;1;0;1;0;1;0;0;1;-20,92366;-43,82117;SPRF-MG;DEL05/MG;UOP02-DEL05-MG;;
749896;03/02/2026;terça-feira;21:00:00;SC;101;215,7;PALHOCA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;3;0;1;0;1;2;0;2;-27,65744472;-48,67805656;SPRF-SC;DEL01/SC;UOP02-DEL01-SC;;;
749902;03/02/2026;terça-feira;21:44:00;PE;316;55;TRINDADE;Ausência de reação do condutor;Colisão traseira;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Simples;Reta;Sim;2;1;0;0;0;0;0;2;-7,741713;-40,283398;SPRF-PE;DEL05/PE;UOP02-DEL05-PE;;;
749904;03/02/2026;terça-feira;20:20:00;GO;414;372,4;COCALZINHO DE GOIAS;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Chuva;Dupla;Reta;Retorno Regulamentado;Não;3;1;0;0;0;1;0;2;-15,765079;-48,758459;SPRF-GO;DEL02/GO;UOP01-DEL02-GO;;
749907;03/02/2026;terça-feira;19:20:00;AL;424;96,3;SATUBA;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;2;1;0;1;1;0;0;2;-9,621385;-35,862988;SPRF-AL;DEL02-AL;UOP01-DEL02-AL;;;
749912;03/02/2026;terça-feira;21:50:00;BA;242;802;BARREIRAS;Acessar a via sem observar a presença dos outros veículos;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Declive;Não;3;0;0;1;1;1;0;3;-12,14199;-44,89726;SPRF-BA;DEL10/BA;UOP01-DEL10-BA;;;
749915;03/02/2026;terça-feira;21:40:00;MG;116;221,9;CATUJI;Problema com o freio;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Curva;Declive;Não;3;0;2;1;3;0;0;1;-17,423293;-41,5137;SPRF-MG;DEL11/MG;UOP01-DEL11-MG;;
749919;03/02/2026;terça-feira;19:20:00;MG;40;2,2;PARACATU;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Chuva;Simples;Reta;Aclive;Não;2;0;1;0;1;0;0;2;-17,04007021;-47,15019465;SPRF-MG;DEL14/MG;UOP01-DEL14-MG;;
749921;03/02/2026;terça-feira;14:00:00;MG;262;36,4;MANHUACU;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Rotatória;Sim;2;0;0;0;0;2;0;2;-20,26729639;-42,03668386;SPRF-MG;DEL06/MG;UOP03-DEL06-MG;;;
749925;04/02/2026;quarta-feira;01:15:00;MG;116;638,9;DIVINO;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Curva;Declive;Não;2;0;0;1;1;0;0;2;-20,64097;-42,24441;SPRF-MG;DEL07/MG;UOP02-DEL07-MG;;
749926;03/02/2026;terça-feira;23:40:00;SP;116;7,3;QUELUZ;Condutor Dormindo;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Sim;2;0;1;0;1;0;0;2;-22,5309273;-44,75160321;SPRF-SP;DEL08/SP;UOP02-DEL08-SP;;;
749931;04/02/2026;quarta-feira;03:00:00;PI;343;525;AMARANTE;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;0;2;-6,409397;-42,796257;SPRF-PI;DEL03-PI;UOP01-DEL03-PI;;;
749932;03/02/2026;terça-feira;16:30:00;BA;324;5;FEIRA DE SANTANA;Frear bruscamente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;4;0;1;0;1;2;0;4;-12,27535165;-38,98343682;SPRF-BA;DEL02/BA;UOP01-DEL02-BA;;;
749935;04/02/2026;quarta-feira;05:05:00;MG;365;95,6;JEQUITAI;Condutor Dormindo;Colisão com objeto;Com Vítimas Feridas;Amanhecer;Decrescente;Nublado;Simples;Ponte;Reta;Não;4;0;1;0;1;2;0;4;-17,21508;-44,46891;SPRF-MG;DEL12/MG;UOP01-DEL12-MG;;
749941;04/02/2026;quarta-feira;06:20:00;TO;153;289;PRESIDENTE KENNEDY;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Simples;Reta;Não;3;0;1;0;1;2;0;2;-8,438805;-48,483733;SPRF-TO;DEL02-TO;UOP02-DEL02-TO;;;
749944;04/02/2026;quarta-feira;07:04:00;RN;101;79,6;SAO GONCALO DO AMARANTE;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;3;0;1;0;1;2;0;3;-5,754258;-35,288798;SPRF-RN;DEL02-RN;UOP01-DEL02-RN;;;
749949;04/02/2026;quarta-feira;06:30:00;PE;408;78,5;PAUDALHO;Condutor deixou de manter distância do veículo da frente;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;1;0;2;-7,92369216;-35,15480071;SPRF-PE;DEL01/PE;UOP01-DEL01-PE;;;
749953;04/02/2026;quarta-feira;07:50:00;PR;116;117;CURITIBA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;1;0;2;-25,55979233;-49,30718997;SPRF-PR;DEL01/PR;UOP03-DEL01-PR;;;
749962;04/02/2026;quarta-feira;07:20:00;SC;282;45,7;AGUAS MORNAS;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Aclive;Curva;Não;6;0;1;2;3;2;0;4;-27,719679;-48,92305;SPRF-SC;DEL01/SC;UOP03-DEL01-SC;;
749963;03/02/2026;terça-feira;23:00:00;MT;163;867;SINOP;Transitar na contramão;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;5;0;3;0;3;0;0;3;-11,59338689;-55,42473793;SPRF-MT;DEL06/MT;UOP02-DEL06-MT;;;
749970;04/02/2026;quarta-feira;09:00:00;RJ;393;285;VOLTA REDONDA;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Interseção de Vias;Sim;2;0;1;0;1;1;0;2;-22,5065219;-44,07732993;SPRF-RJ;DEL05/RJ;UOP04-DEL05-RJ;;;
749971;04/02/2026;quarta-feira;07:30:00;MT;364;333;SANTO ANTONIO DO LEVERGER;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Nublado;Dupla;Reta;Aclive;Não;3;0;0;1;1;1;0;4;-15,828396;-55,458259;SPRF-MT;DEL05/MT;UOP02-DEL05-MT;;
749976;04/02/2026;quarta-feira;10:00:00;RJ;116;189;NOVA IGUACU;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;4;1;0;0;0;2;0;4;-22,73853632;-43,49389672;SPRF-RJ;DEL06/RJ;UOP01-DEL06-RJ;;;
749977;04/02/2026;quarta-feira;07:56:00;RO;319;135;PORTO VELHO;Reação tardia ou ineficiente do condutor;Eventos atípicos;Sem Vítimas;Pleno dia;Crescente;Sol;Simples;Retorno Regulamentado;Não;3;0;0;0;0;1;0;5;-8,7402571;-63,93384969;SPRF-RO;DEL01-RO;UOP01-DEL01-RO;;;
749981;04/02/2026;quarta-feira;09:30:00;SC;470;166,9;CURITIBANOS;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Curva;Não;2;0;1;0;1;0;0;2;-27,3119683;-50,74706;SPRF-SC;DEL04/SC;UOP02-DEL04-SC;;;
749982;04/02/2026;quarta-feira;10:52:00;PR;277;727,1;FOZ DO IGUACU;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Sim;3;0;1;0;1;1;0;3;-25,51084141;-54,55451882;SPRF-PR;DEL05/PR;UOP03-DEL05-PR;;;
749983;19/01/2026;segunda-feira;00:23:00;ES;101;146,8;LINHARES;Condutor desrespeitou a iluminação vermelha do semáforo;Colisão transversal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Dupla;Interseção de Vias;Sim;4;1;0;0;0;0;0;4;-19,37548839;-40,06601265;SPRF-ES;DEL04-ES;UOP01-DEL04-ES;;;
749985;04/02/2026;quarta-feira;08:00:00;AC;364;126;RIO BRANCO;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;1;0;2;-10,0196617;-67,81419743;SPRF-AC;DEL01-AC;UOP01-DEL01-AC;;;
749989;04/02/2026;quarta-feira;07:00:00;GO;50;195,3;CAMPO ALEGRE DE GOIAS;Condutor Dormindo;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Não;1;0;1;0;1;0;0;1;-17,5327447;-47,830877;SPRF-GO;DEL06/GO;UOP01-DEL06-GO;;;
749990;04/02/2026;quarta-feira;07:00:00;SC;282;174;BOCAINA DO SUL;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Declive;Não;2;0;0;0;0;1;0;2;-27,742872;-49,883722;SPRF-SC;DEL05/SC;UOP01-DEL05-SC;;
749995;04/02/2026;quarta-feira;01:00:00;PI;135;595;CORRENTE;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Ignorado;Simples;Curva;Não;2;0;0;0;0;1;0;2;-10,483113;-45,185927;SPRF-PI;DEL03-PI;UOP02-DEL03-PI;;;
749999;04/02/2026;quarta-feira;12:40:00;BA;116;864;VITORIA DA CONQUISTA;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;4;2;0;0;0;1;0;4;-15,16586;-41,06032;SPRF-BA;DEL08/BA;UOP01-DEL08-BA;;;
750001;04/02/2026;quarta-feira;12:17:00;SC;480;128,3;CHAPECO;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;Sim;4;0;1;0;1;1;0;5;-27,0346017;-52,6339815;SPRF-SC;DEL07/SC;UOP01-DEL07-SC;;;
750007;04/02/2026;quarta-feira;14:00:00;SC;101;243,2;PALHOCA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;2;0;1;0;1;1;0;2;-27,88545;-48,64762;SPRF-SC;DEL01/SC;UOP02-DEL01-SC;;;
750018;04/02/2026;quarta-feira;11:00:00;BA;116;652;JEQUIE;Mal súbito do condutor;Tombamento;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;0;0;1;0;3;-13,68228781;-40,09536302;SPRF-BA;DEL03/BA;UOP01-DEL03-BA;;;
750019;04/02/2026;quarta-feira;12:40:00;MS;267;516,6;JARDIM;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Interseção de Vias;Não;4;0;1;0;1;3;0;2;-21,49643925;-56,45393372;SPRF-MS;DEL05/MS;UOP01-DEL05-MS;;
750023;04/02/2026;quarta-feira;14:40:00;GO;153;584,5;PROFESSOR JAMIL;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Não;3;0;1;0;1;1;0;4;-17,402915;-49,223675;SPRF-GO;DEL03/GO;UOP01-DEL03-GO;;;
750024;04/02/2026;quarta-feira;14:15:00;SP;381;40;ATIBAIA;Demais falhas mecânicas ou elétricas;Eventos atípicos;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Sim;3;0;1;0;1;1;0;3;-23,126;-46,576;SPRF-SP;DEL03/SP;UOP01-DEL03-SP;;;
750026;04/02/2026;quarta-feira;14:10:00;GO;153;333,6;JARAGUA;Reação tardia ou ineficiente do condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Interseção de Vias;Não;2;0;1;0;1;1;0;2;-15,561027;-49,422555;SPRF-GO;DEL02/GO;UOP02-DEL02-GO;;
750027;04/02/2026;quarta-feira;14:15:00;MT;163;827;SINOP;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Retorno Regulamentado;Sim;1;0;1;0;1;0;0;1;-11,929263;-55,51283;SPRF-MT;DEL06/MT;UOP02-DEL06-MT;;;
750028;04/02/2026;quarta-feira;15:30:00;ES;101;367,8;ANCHIETA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;4;0;1;0;1;2;0;3;-20,751128;-40,76005;SPRF-ES;DEL03-ES;UOP01-DEL03-ES;;;
750033;04/02/2026;quarta-feira;12:50:00;SC;101;253;PAULO LOPES;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;1;0;2;-27,963044;-48,679527;SPRF-SC;DEL02/SC;UOP03-DEL02-SC;;;
750034;04/02/2026;quarta-feira;13:00:00;MT;163;1111;GUARANTA DO NORTE;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Declive;Não;2;0;0;1;1;0;0;3;-9,75964037;-54,89571818;SPRF-MT;DEL06/MT;UOP03-DEL06-MT;;
750036;04/02/2026;quarta-feira;13:30:00;MA;10;254;IMPERATRIZ;Condutor desrespeitou a iluminação vermelha do semáforo;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;4;0;1;0;1;2;0;3;-5,50945;-47,47164;SPRF-MA;DEL04-MA;UOP01-DEL04-MA;;;
750047;04/02/2026;quarta-feira;17:30:00;RS;386;362,4;ESTRELA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Curva;Não;3;0;0;1;1;1;0;3;-29,5593101;-51,88583136;SPRF-RS;DEL04/RS;UOP01-DEL04-RS;;;
750049;04/02/2026;quarta-feira;15:16:00;MS;463;33;PONTA PORA;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Rotatória;Não;2;0;1;0;1;0;0;2;-22,30217341;-55,10166866;SPRF-MS;DEL04/MS;UOP03-DEL04-MS;;
750060;06/01/2026;terça-feira;07:30:00;PB;412;35;SAO JOAO DO CARIRI;Ausência de reação do condutor;Colisão traseira;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;3;1;0;1;1;0;0;2;-7,315185;-36,362035;SPRF-PB;DEL02-PB;UOP02-DEL02-PB;;;
750061;04/02/2026;quarta-feira;15:10:00;RJ;393;274;BARRA DO PIRAI;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Aclive;Não;5;0;3;1;4;0;0;2;-22,47456098;-43,99567064;SPRF-RJ;DEL05/RJ;UOP04-DEL05-RJ;;
750062;04/02/2026;quarta-feira;14:00:00;BA;420;244;MUTUIPE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Declive;Não;3;0;3;0;3;0;0;2;-13,22090705;-39,48481947;SPRF-BA;DEL11/BA;UOP01-DEL11-BA;;;
750066;04/02/2026;quarta-feira;18:15:00;RS;386;440;CANOAS;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Dupla;Reta;Não;5;0;4;0;4;1;0;3;-29,87998752;-51,24012558;SPRF-RS;DEL01/RS;UOP01-DEL01-RS;;;
750072;04/02/2026;quarta-feira;17:30:00;RJ;40;2;COMENDADOR LEVY GASPARIAN;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;1;0;1;0;1;0;0;1;-22,00805537;-43,24801031;SPRF-RJ;DEL05/RJ;UOP02-DEL05-RJ;;;
750077;04/02/2026;quarta-feira;18:50:00;SP;116;64,9;GUARATINGUETA;Frear bruscamente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;Aclive;Curva;Não;5;0;1;0;1;3;0;4;-22,82311579;-45,19233738;SPRF-SP;DEL08/SP;UOP01-DEL08-SP;;
750091;04/02/2026;quarta-feira;19:10:00;SP;116;85,7;PINDAMONHANGABA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Garoa/Chuvisco;Dupla;Reta;Não;4;0;1;0;1;2;0;3;-22,92391645;-45,34862784;SPRF-SP;DEL08/SP;UOP01-DEL08-SP;;;
750094;04/02/2026;quarta-feira;14:30:00;BA;242;222,5;ITABERABA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;0;0;1;0;2;-12,52040061;-40,27875423;SPRF-BA;DEL06/BA;UOP02-DEL06-BA;;;
750097;04/02/2026;quarta-feira;19:08:00;RO;364;202;PIMENTA BUENO;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Dupla;Aclive;Reta;Sim;3;0;0;0;0;1;0;4;-11,633798;-61,202295;SPRF-RO;DEL02-RO;UOP02-DEL02-RO;;
750099;04/02/2026;quarta-feira;20:00:00;SC;480;127,5;CHAPECO;Desrespeitar a preferência no cruzamento;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Aclive;Reta;Não;2;0;0;1;1;1;0;2;-27,03948493;-52,63458475;SPRF-SC;DEL07/SC;UOP01-DEL07-SC;;
750101;04/02/2026;quarta-feira;16:25:00;RO;364;312,1;PRESIDENTE MEDICI;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Não;4;0;2;0;2;2;0;3;-11,13406308;-61,90122589;SPRF-RO;DEL02-RO;UOP01-DEL02-RO;;;
750103;04/02/2026;quarta-feira;19:00:00;RJ;116;86;TERESOPOLIS;Mal súbito do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;2;0;1;0;1;0;0;2;-22,427205;-42,952477;SPRF-RJ;DEL04/RJ;UOP01-DEL04-RJ;;;
750111;04/02/2026;quarta-feira;23:30:00;MG;262;549,9;CORREGO DANTA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Curva;Declive;Não;2;0;1;0;1;0;0;3;-19,74126;-45,94348;SPRF-MG;DEL08/MG;UOP02-DEL08-MG;;
750115;04/02/2026;quarta-feira;23:00:00;MG;262;120;RIO CASCA;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Curva;Sim;2;0;0;1;1;1;0;2;-20,21806629;-42,65147924;SPRF-MG;DEL03/MG;UOP03-DEL03-MG;;;
750123;04/02/2026;quarta-feira;23:50:00;PR;277;29,9;MORRETES;Ausência de reação do condutor;Colisão traseira;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;3;1;0;0;0;1;0;5;-25,55107066;-48,79736273;SPRF-PR;DEL01/PR;UOP05-DEL01-PR;;;
750128;05/02/2026;quinta-feira;01:27:00;SP;116;279,8;EMBU DAS ARTES;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;Reta;Não;3;0;0;0;0;2;0;3;-23,64415687;-46,83987444;SPRF-SP;DEL04/SP;UOP01-DEL04-SP;;;
750129;05/02/2026;quinta-feira;00:32:00;MG;116;506,8;UBAPORANGA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Não;2;0;0;1;1;0;0;2;-19,620517;-42,10815;SPRF-MG;DEL06/MG;UOP02-DEL06-MG;;;
750130;05/02/2026;quinta-feira;02:30:00;MG;40;320;TRES MARIAS;Pista esburacada;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Aclive;Não;2;0;1;0;1;0;0;2;-18,520874;-45,07474;SPRF-MG;DEL14/MG;UOP02-DEL14-MG;;;
750135;05/02/2026;quinta-feira;06:30:00;MG;381;925;ITAPEVA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;2;0;1;0;1;0;0;2;-22,77174971;-46,20574951;SPRF-MG;DEL16/MG;UOP03-DEL16-MG;;;
750136;05/02/2026;quinta-feira;05:40:00;PR;277;134;BALSA NOVA;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Nublado;Dupla;Aclive;Reta;Não;19;0;16;0;16;1;0;5;-25,47021991;-49,72498451;SPRF-PR;DEL01/PR;UOP07-DEL01-PR;;
750143;04/02/2026;quarta-feira;12:38:00;MT;364;465;VARZEA GRANDE;Ausência de reação do condutor;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;0;3;-15,438528;-56,33575;SPRF-MT;DEL01/MT;UOP02-DEL01-MT;;;
750146;05/02/2026;quinta-feira;05:30:00;PR;277;145,7;BALSA NOVA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Amanhecer;Crescente;Nublado;Dupla;Curva;Não;6;0;3;0;3;2;0;5;-25,47560109;-49,7197408;SPRF-PR;DEL01/PR;UOP07-DEL01-PR;;;
750148;05/02/2026;quinta-feira;07:00:00;SP;116;145;SAO JOSE DOS CAMPOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Aclive;Sim;2;0;1;0;1;0;0;2;-23,18904797;-45,85856438;SPRF-SP;DEL02/SP;UOP01-DEL02-SP;;
750151;05/02/2026;quinta-feira;04:16:00;PA;163;618;TRAIRAO;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Curva;Não;4;0;1;0;1;1;0;8;-4,73383239;-56,04915619;SPRF-PA;DEL05/PA;UOP03-DEL05-PA;;;
750153;05/02/2026;quinta-feira;06:00:00;MG;365;283,5;JOAO PINHEIRO;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Nevoeiro/Neblina;Simples;Reta;Não;7;0;1;1;2;5;0;3;-18,031983;-45,641692;SPRF-MG;DEL10/MG;UOP02-DEL010-MG;;;
